person,contributor_group,homepage,paper,year,paper_url,doi,discovery_source,status,topics
Wenlong Huang,Supporting Team,https://wenlong.page/,UAD: Unsupervised Affordance Distillation for Generalization in Robotic Manipulation,2025,https://doi.org/10.1109/icra55743.2025.11128868,10.1109/icra55743.2025.11128868,Crossref,candidate_needs_fulltext_verification,
Arpit Bahety,Alumni,https://arpitrf.github.io/,SafeMimic: Towards Safe and Autonomous Human-to-Robot Imitation for Mobile Manipulation,2025,https://doi.org/10.15607/rss.2025.xxi.128,10.15607/rss.2025.xxi.128,Crossref,candidate_needs_fulltext_verification,
Arpit Bahety,Alumni,https://arpitrf.github.io/,BaRiFlex: A Robotic Gripper with Versatility and Collision Robustness for Robot Learning,2024,https://doi.org/10.1109/iros58592.2024.10802024,10.1109/iros58592.2024.10802024,Crossref,candidate_needs_fulltext_verification,
Mingtong Zhang,Alumni,https://robo-alex.github.io/,KUDA: Keypoints to Unify Dynamics Learning and Visual Prompting for Open-Vocabulary Robotic Manipulation,2025,https://doi.org/10.1109/icra55743.2025.11128038,10.1109/icra55743.2025.11128038,Crossref,candidate_needs_fulltext_verification,
Weiyu Liu,Supporting Team,https://www.weiyuliu.com/,Latent Space Planning for Multiobject Manipulation With Environment-Aware Relational Classifiers,2024,https://doi.org/10.1109/tro.2024.3360956,10.1109/tro.2024.3360956,Crossref,candidate_needs_fulltext_verification,
Weiyu Liu,Supporting Team,https://www.weiyuliu.com/,GraspGPT: Leveraging Semantic Knowledge From a Large Language Model for Task-Oriented Grasping,2023,https://doi.org/10.1109/lra.2023.3320012,10.1109/lra.2023.3320012,Crossref,candidate_needs_fulltext_verification,
Manling Li,Supporting Team,https://limanling.github.io/,Foundation Models Meet Embodied Agents,2025,https://doi.org/10.18653/v1/2025.naacl-tutorial.3,10.18653/v1/2025.naacl-tutorial.3,Crossref,candidate_needs_fulltext_verification,
Yunzhu Li,Supporting Team,https://yunzhuli.github.io/,AdaptiGraph: Material-Adaptive Graph-Based Neural Dynamics for Robotic Manipulation,2024,https://doi.org/10.15607/rss.2024.xx.010,10.15607/rss.2024.xx.010,Crossref,candidate_needs_fulltext_verification,
Yunzhu Li,Supporting Team,https://yunzhuli.github.io/,KUDA: Keypoints to Unify Dynamics Learning and Visual Prompting for Open-Vocabulary Robotic Manipulation,2025,https://doi.org/10.1109/icra55743.2025.11128038,10.1109/icra55743.2025.11128038,Crossref,candidate_needs_fulltext_verification,
Yunzhu Li,Supporting Team,https://yunzhuli.github.io/,Embodied AI: Bridging Robotics and AI Toward Real-World Applications [From the Guest Editors],2026,https://doi.org/10.1109/mra.2026.3653534,10.1109/mra.2026.3653534,Crossref,candidate_needs_fulltext_verification,
Yunzhu Li,Supporting Team,https://yunzhuli.github.io/,Dynamic-Resolution Model Learning for Object Pile Manipulation,2023,https://doi.org/10.15607/rss.2023.xix.047,10.15607/rss.2023.xix.047,Crossref,candidate_needs_fulltext_verification,
Yunzhu Li,Supporting Team,https://yunzhuli.github.io/,A review of learning-based dynamics models for robotic manipulation,2025,https://doi.org/10.1126/scirobotics.adt1497,10.1126/scirobotics.adt1497,Crossref,candidate_needs_fulltext_verification,
Yunzhu Li,Supporting Team,https://yunzhuli.github.io/,Learning Coordinated Bimanual Manipulation Policies Using State Diffusion and Inverse Dynamics Models,2025,https://doi.org/10.1109/icra55743.2025.11127387,10.1109/icra55743.2025.11127387,Crossref,candidate_needs_fulltext_verification,
Yunzhu Li,Supporting Team,https://yunzhuli.github.io/,Foundation Models Meet Embodied Agents,2025,https://doi.org/10.18653/v1/2025.naacl-tutorial.3,10.18653/v1/2025.naacl-tutorial.3,Crossref,candidate_needs_fulltext_verification,
